"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0001666","response to hypoxia","17/80","269/20875",0.0631970260223048,16.4904739776952,15.8603354851827,2.20349552477285e-16,4.94860736566246e-14,3.18857635682238e-14,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19/ATEDS1/ALAAT2",17,"BP"
"GO:0036293","response to decreased oxygen levels","17/80","273/20875",0.0622710622710623,16.2488553113553,15.7301276325517,2.82119990278737e-16,4.94860736566246e-14,3.18857635682238e-14,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19/ATEDS1/ALAAT2",17,"BP"
"GO:0070482","response to oxygen levels","17/80","274/20875",0.062043795620438,16.189552919708,15.6980060581321,2.99915597918937e-16,4.94860736566246e-14,3.18857635682238e-14,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19/ATEDS1/ALAAT2",17,"BP"
"GO:0071456","cellular response to hypoxia","15/80","241/20875",0.0622406639004149,16.2409232365145,14.7603431655565,1.89927618776573e-14,1.76987546153893e-12,1.1403982240219e-12,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19",15,"BP"
"GO:0036294","cellular response to decreased oxygen levels","15/80","243/20875",0.0617283950617284,16.1072530864198,14.6921836322794,2.14530358974416e-14,1.76987546153893e-12,1.1403982240219e-12,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19",15,"BP"
"GO:0071453","cellular response to oxygen levels","15/80","243/20875",0.0617283950617284,16.1072530864198,14.6921836322794,2.14530358974416e-14,1.76987546153893e-12,1.1403982240219e-12,"ATCAL4/HUP35/AtC3H29/FLOT1/AtC3H47/AtNUDT7/STZ/AGC2/ATWRKY70/NA/GAL1/NRP/DUF569/ATL31/ATPK19",15,"BP"
"GO:0009611","response to wounding","15/80","268/20875",0.0559701492537313,14.6047108208955,13.9032937000814,9.02812673348454e-14,6.38417533296407e-12,4.11356751916664e-12,"AtJAZ1/ATLOX4/ATWRKY40/AtPEPR2/HUP35/ACS6/anac081/STZ/AGC2/IAR3/ATPEPR1/JAZ5/ATPAL2/ATLOX3/EFD",15,"BP"
"GO:0006979","response to oxidative stress","16/80","458/20875",0.0349344978165939,9.11572052401747,10.8926168728062,1.65388009918694e-11,1.02333831137192e-09,6.59375881649531e-10,"AtBBE19/UGT74E2/AtLEA5/ATLOX4/ATGST1/NA/HUP35/ACS6/AtNUDT7/STZ/AGC2/ATWRKY70/ATPAL2/LRR/Prx37/ATEDS1",16,"BP"
"GO:0042430","indole-containing compound metabolic process","8/80","87/20875",0.0919540229885057,23.9942528735632,13.3303313899673,1.48784813248725e-09,8.18316472867986e-08,5.27272496074428e-08,"ATWRKY33/CYP71B15/UGT74E2/ABCG36/ATGSTU4/ATWRKY70/AIG2B/IGPS",8,"BP"
"GO:0009404","toxin metabolic process","7/80","61/20875",0.114754098360656,29.9436475409836,14.0413470640906,3.43032560451992e-09,1.69801117423736e-07,1.09409332438898e-07,"ATWRKY33/CYP71B15/ATGST1/ATGSTF2/ATGSTU4/ATWRKY70/ATGST11",7,"BP"
"GO:0009753","response to jasmonic acid","10/80","220/20875",0.0454545454545455,11.8607954545455,10.0445097811122,1.19186243606769e-08,5.36338096230459e-07,3.45583079548812e-07,"AtJAZ1/AtPEPR2/ACS6/anac081/ATPEPR1/ATWRKY70/ATJRG21/JAZ5/ATLOX3/JAO2",10,"BP"
"GO:0070542","response to fatty acid","10/80","224/20875",0.0446428571428571,11.6489955357143,9.93872059387666,1.41510014094137e-08,5.83728808138314e-07,3.76118721671258e-07,"AtJAZ1/AtPEPR2/ACS6/anac081/ATPEPR1/ATWRKY70/ATJRG21/JAZ5/ATLOX3/JAO2",10,"BP"
"GO:0009414","response to water deprivation","13/80","458/20875",0.0283842794759825,7.40652292576419,8.59859571441409,1.90862255336122e-08,6.93344832008175e-07,4.46748504196655e-07,"ATWRKY33/CYP71B15/UGT74E2/AtLEA5/ATGST1/HUP35/ACS2/ATSTP13/ACS6/ATMYB15/STZ/ABCG36/ATWRKY70",13,"BP"
"GO:0009620","response to fungus","12/80","376/20875",0.0319148936170213,8.32779255319149,8.89342652894151,1.96097528244736e-08,6.93344832008175e-07,4.46748504196655e-07,"AtBBE19/ATWRKY33/CYP71B15/ATWRKY40/MO1/AtC3H29/anac081/ABCG36/ATWRKY70/ATJRG21/ATLOX3/JAO2",12,"BP"
"GO:0009415","response to water","13/80","471/20875",0.0276008492569002,7.2020966029724,8.44422298868611,2.6530402545817e-08,8.75503284011962e-07,5.64120138342636e-07,"ATWRKY33/CYP71B15/UGT74E2/AtLEA5/ATGST1/HUP35/ACS2/ATSTP13/ACS6/ATMYB15/STZ/ABCG36/ATWRKY70",13,"BP"
"GO:0031347","regulation of defense response","10/80","297/20875",0.0336700336700337,8.78577441077441,8.38198404854848,1.99810665233599e-07,6.18164245566446e-06,3.98306786616976e-06,"CYP71B15/AtJAZ1/ATWRKY40/AtNUDT7/ABCG36/ATGSTU4/ATWRKY70/ATJRG21/JAZ5/JAO2",10,"BP"
"GO:0000302","response to reactive oxygen species","8/80","167/20875",0.0479041916167665,12.5,9.25455132828763,2.52007280213879e-07,6.88611451528302e-06,4.4369860672637e-06,"UGT74E2/AtLEA5/ATLOX4/NA/HUP35/AtNUDT7/ATWRKY70/ATEDS1",8,"BP"
"GO:0010120","camalexin biosynthetic process","4/80","15/20875",0.266666666666667,69.5833333333333,16.480691780975,2.64315506647227e-07,6.88611451528302e-06,4.4369860672637e-06,"ATWRKY33/CYP71B15/ATGSTU4/ATWRKY70",4,"BP"
"GO:0052317","camalexin metabolic process","4/80","15/20875",0.266666666666667,69.5833333333333,16.480691780975,2.64315506647227e-07,6.88611451528302e-06,4.4369860672637e-06,"ATWRKY33/CYP71B15/ATGSTU4/ATWRKY70",4,"BP"
"GO:0009403","toxin biosynthetic process","4/80","16/20875",0.25,65.234375,15.9422319212357,3.51394956917243e-07,7.24752098641815e-06,4.669854032716e-06,"ATWRKY33/CYP71B15/ATGSTU4/ATWRKY70",4,"BP"
"GO:0010494","cytoplasmic stress granule","5/97","153/26704",0.0326797385620915,8.99669833569166,5.98940840107091,0.000243868448059496,0.00999860637043933,0.00795781251562565,"ATGST1/ATGSTF2/ATGST11/HSP70-3/NA",5,"CC"
"GO:0036464","cytoplasmic ribonucleoprotein granule","5/97","206/26704",0.0242718446601942,6.68201381243119,4.94307599791419,0.00094387587782661,0.013181406599133,0.0104909782945603,"ATGST1/ATGSTF2/ATGST11/HSP70-3/NA",5,"CC"
"GO:0035770","ribonucleoprotein granule","5/97","207/26704",0.0241545893719807,6.64973355246775,4.92700186386237,0.000964493165790218,0.013181406599133,0.0104909782945603,"ATGST1/ATGSTF2/ATGST11/HSP70-3/NA",5,"CC"
"GO:0048046","apoplast","6/97","331/26704",0.0181268882175227,4.99031363877036,4.41071708916327,0.00133057198836027,0.0136383628806928,0.0108546662208338,"AtBBE19/ATGSTF2/ABCC3/AB165/GAL1/HSP70-3",6,"CC"
"GO:0099080","supramolecular complex","6/97","434/26704",0.0138248847926267,3.80597653095159,3.55849862912743,0.00507764955973766,0.0416367263898488,0.03313834449513,"ATGST1/ATGSTF2/ATCAL5/ATGST11/HSP70-3/NA",6,"CC"
"GO:0008559","ABC-type xenobiotic transporter activity","3/97","15/26522",0.2,54.6845360824742,12.6005024138836,2.09000068743924e-05,0.00156340699533042,0.000903971427989421,"ABCB4/ABCC3/ABCC7",3,"MF"
"GO:0042277","peptide binding","5/97","105/26522",0.0476190476190476,13.0201276386843,7.47713630469934,4.26472585980476e-05,0.00156340699533042,0.000903971427989421,"ATGST1/ATGSTF2/AtPEPR2/ATGST11/LRR",5,"MF"
"GO:0043295","glutathione binding","3/97","19/26522",0.157894736842105,43.1720021703744,11.1410678544762,4.40396336712795e-05,0.00156340699533042,0.000903971427989421,"ATGST1/ATGSTF2/ATGST11",3,"MF"
"GO:1900750","oligopeptide binding","3/97","19/26522",0.157894736842105,43.1720021703744,11.1410678544762,4.40396336712795e-05,0.00156340699533042,0.000903971427989421,"ATGST1/ATGSTF2/ATGST11",3,"MF"
"GO:0016887","ATP hydrolysis activity","9/97","468/26522",0.0192307692307692,5.25812846946868,5.63089979872851,5.56258444251464e-05,0.00157977398167416,0.000913434918981352,"ABCB4/ACA12/NA/NA/ABCC3/ABCG36/ABCC7/HSP70-3/ACA13",9,"MF"
"GO:0004364","glutathione transferase activity","4/97","61/26522",0.0655737704918033,17.9293560926145,8.02002178687077,7.47717091984267e-05,0.00161687807324251,0.000934888730266239,"ATGST1/ATGSTF2/ATGSTU4/ATGST11",4,"MF"
"GO:0080044","quercetin 7-O-glucosyltransferase activity","4/97","62/26522",0.0645161290322581,17.6401729298304,7.94752818994573,7.9705257131673e-05,0.00161687807324251,0.000934888730266239,"UGT74E2/NA/UGT73B5/UGT73B4",4,"MF"
"GO:0033218","amide binding","5/97","126/26522",0.0396825396825397,10.8501063655703,6.71475930703159,0.000101537615885471,0.00180229268196711,0.00104209658408773,"ATGST1/ATGSTF2/AtPEPR2/ATGST11/LRR",5,"MF"
"GO:0042626","ATPase-coupled transmembrane transporter activity","6/97","213/26522",0.028169014084507,7.70204733555975,5.95002018472559,0.000134551630798754,0.00194680535542891,0.00112565469031471,"ABCB4/ACA12/ABCC3/ABCG36/ABCC7/ACA13",6,"MF"
"GO:0042910","xenobiotic transmembrane transporter activity","4/97","73/26522",0.0547945205479452,14.9820646801299,7.24772030904566,0.000150808865561394,0.00194680535542891,0.00112565469031471,"ABCB4/ABCC3/ATDTX1/ABCC7",4,"MF"
"GO:0080043","quercetin 3-O-glucosyltransferase activity","4/97","73/26522",0.0547945205479452,14.9820646801299,7.24772030904566,0.000150808865561394,0.00194680535542891,0.00112565469031471,"UGT74E2/NA/UGT73B5/UGT73B4",4,"MF"
"GO:0015399","primary active transmembrane transporter activity","6/97","231/26522",0.025974025974026,7.10188780291873,5.64338880310012,0.000208853797530509,0.00237884777921487,0.00137546424595078,"ABCB4/ACA12/ABCC3/ABCG36/ABCC7/ACA13",6,"MF"
"GO:0072341","modified amino acid binding","3/97","32/26522",0.09375,25.6333762886598,8.44755966579773,0.000217781838942207,0.00237884777921487,0.00137546424595078,"ATGST1/ATGSTF2/ATGST11",3,"MF"
"GO:1901681","sulfur compound binding","3/97","41/26522",0.0731707317073171,20.0065375911491,7.37906037177078,0.000457029016172986,0.00463558002118314,0.00268032054597691,"ATGST1/ATGSTF2/ATGST11",3,"MF"
"GO:0140359","ABC-type transporter activity","4/97","103/26522",0.0388349514563107,10.6183565208688,5.92563112372215,0.000563433063911731,0.00488201920481461,0.00282281317995211,"ABCB4/ABCC3/ABCG36/ABCC7",4,"MF"
"GO:0102360","daphnetin 3-O-glucosyltransferase activity","2/97","10/26522",0.2,54.6845360824742,10.2872969412366,0.00058446708790034,0.00488201920481461,0.00282281317995211,"UGT73B5/UGT73B4",2,"MF"
"GO:0102425","myricetin 3-O-glucosyltransferase activity","2/97","10/26522",0.2,54.6845360824742,10.2872969412366,0.00058446708790034,0.00488201920481461,0.00282281317995211,"UGT73B5/UGT73B4",2,"MF"
"GO:0047893","flavonol 3-O-glucosyltransferase activity","2/97","11/26522",0.181818181818182,49.7132146204311,9.7904666990389,0.000712646409104383,0.00562198833849013,0.00325066783100245,"UGT73B5/UGT73B4",2,"MF"
"GO:0051213","dioxygenase activity","4/97","131/26522",0.0305343511450382,8.34878413472889,5.10853686642729,0.00138128169039351,0.00991703619121205,0.00573409060722416,"ATLOX4/ATJRG21/ATLOX3/JAO2",4,"MF"
"GO:0008483","transaminase activity","3/97","62/26522",0.0483870967741935,13.2301296973728,5.84124341414242,0.00153393122504837,0.00991703619121205,0.00573409060722416,"ACS2/ACS6/ALAAT2",3,"MF"
